Benchmark Start Time,Provider Name,Provider VM Id,VM Role,Time,Value
2015-05-08 18:18:01,aws,i-ed3b360a,default,1431109873,2.0
2015-05-08 22:17:54,aws,i-96f3fe71,default,1431124292,20.481
2015-05-09 12:17:46,aws,i-02e8e4e5,default,1431174662,1.9608
2015-05-09 20:17:54,aws,i-a7535c40,default,1431203476,3.487
2015-05-10 00:17:49,aws,i-151718f2,default,1431217865,2.1041
2015-05-10 02:17:52,aws,i-80343b67,default,1431225053,4.6119
2015-05-10 20:18:03,aws,i-f1ded016,default,1431289918,1.8906
2015-05-11 06:17:59,aws,i-1b646dfc,default,1431325911,2.0755
2015-05-08 16:17:52,aws,i-18020fff,default,1431102689,3.0234
2015-05-09 22:18:04,aws,i-a1727d46,default,1431210726,5.2213
2015-05-10 10:55:35,aws,i-7e4c4299,default,1431256099,2.5651
2015-05-11 02:17:53,aws,i-00a8a6e7,default,1431311480,2.3854
2015-05-11 04:17:56,aws,i-e74d4400,default,1431318680,1.8938
2015-05-08 12:18:01,aws,i-5eb7b5b9,default,1431088297,1.7135
2015-05-08 14:18:01,aws,i-ae696449,default,1431095475,2.0338
2015-05-08 20:26:58,aws,i-79d0dd9e,default,1431117602,2.3281
2015-05-08 22:10:51,aws,i-0af6fbed,default,1431123807,2.7708
2015-05-09 02:17:48,aws,i-56b3beb1,default,1431138637,2.1223
2015-05-10 04:17:46,aws,i-3ad4dbdd,default,1431232219,25.803
2015-05-10 10:17:51,aws,i-5bb4bbbc,default,1431253858,2.2786
2015-05-10 16:18:09,aws,i-76181691,default,1431275448,2.5256
2015-05-08 21:11:40,aws,i-61e6eb86,default,1431120321,2.0972
2015-05-09 00:17:47,aws,i-91939e76,default,1431131454,2.5911
2015-05-09 06:17:54,aws,i-970c0070,default,1431153059,2.4722
2015-05-09 10:17:57,aws,i-f9c8c41e,default,1431167519,25.79
2015-05-09 14:17:57,aws,i-af8e8248,default,1431181893,1.453
2015-05-09 04:18:24,aws,i-fa6d611d,default,1431145900,2.2106
2015-05-09 08:17:48,aws,i-582824bf,default,1431160277,2.2786
2015-05-09 16:17:47,aws,i-abaea24c,default,1431189046,2.7994
2015-05-09 18:17:59,aws,i-dd4e413a,default,1431196257,2.4103
2015-05-10 12:17:51,aws,i-61585686,default,1431261048,2.6648
2015-05-11 10:17:56,aws,i-38cec7df,default,1431340254,2.2342
2015-05-11 18:18:01,aws,i-5c7d75bb,default,1431369132,3.4349
2015-05-08 09:53:44,aws,i-e4818303,default,1431079605,2.5104
2015-05-08 20:17:52,aws,i-5ad4d9bd,default,1431117075,1.9349
2015-05-09 10:44:34,aws,i-cbc0cc2c,default,1431169044,2.3463
2015-05-10 06:18:03,aws,i-e8f3fc0f,default,1431239598,14.533
2015-05-10 08:17:53,aws,i-6e919e89,default,1431246694,2.6176
2015-05-11 00:17:58,aws,i-e5888602,default,1431304288,3.2447
2015-05-08 10:18:28,aws,i-c5898b22,default,1431081275,1.9568
2015-05-08 19:00:41,aws,i-50ccc1b7,default,1431112438,2.7187
2015-05-10 10:34:18,aws,i-34b1bed3,default,1431254930,2.6458
2015-05-10 14:18:00,aws,i-077b75e0,default,1431268270,2.0598
2015-05-10 18:18:01,aws,i-4d3c32aa,default,1431282762,1.8073
2015-05-10 22:17:51,aws,i-47e4eaa0,default,1431297074,2.8722
2015-05-11 14:17:59,aws,i-2ba8a1cc,default,1431354701,1.6094
2015-05-11 07:59:44,aws,i-591b12be,default,1431331973,2.1015
2015-05-11 16:18:03,aws,i-c9474f2e,default,1431361874,2.1406
2015-05-11 08:18:05,aws,i-3c1019db,default,1431333058,2.3854
2015-05-11 12:18:02,aws,i-71faf396,default,1431347474,2.2551
