Benchmark Start Time,Provider Name,Provider VM Id,VM Role,Time,Value
2015-05-06 05:02:46,aws,i-b9696f5e,default,1430893576,1.4286
2015-05-06 00:50:14,aws,i-bea2a559,default,1430878501,4.3278
2015-05-05 20:52:41,aws,i-d8ded93f,default,1430864139,2.8512
2015-05-05 22:55:19,aws,i-34fcfbd3,default,1430871542,15.282
2015-05-06 02:48:51,aws,i-fc4f491b,default,1430885542,1.2556
2015-05-05 16:43:47,aws,i-360c0bd1,default,1430849282,1.4488
2015-05-09 08:50:05,aws,i-7e272b99,default,1431166442,1.7057
2015-05-09 12:53:45,aws,i-10e7ebf7,default,1431181148,1.3672
2015-05-09 14:52:59,aws,i-ce858929,default,1431188262,1.1622
2015-05-09 16:53:29,aws,i-d1a7ab36,default,1431195402,1.4687
2015-05-10 16:47:58,aws,i-43131da4,default,1431281663,1.6175
2015-05-10 04:53:29,aws,i-dbebe43c,default,1431238903,1.4297
2015-05-11 04:48:16,aws,i-96444d71,default,1431324879,1.4583
2015-05-11 08:48:22,aws,i-6d2a238a,default,1431339197,1.5499
2015-05-09 00:48:09,aws,i-fdaba61a,default,1431137663,20.229
2015-05-10 02:48:08,aws,i-6fcbc488,default,1431231326,1.4668
2015-05-10 06:55:48,aws,i-8b8a856c,default,1431246063,1.2748
2015-05-10 08:48:04,aws,i-bbaba45c,default,1431252670,1.4792
2015-05-10 14:52:43,aws,i-84737d63,default,1431274606,8.5648
2015-05-08 20:53:27,aws,i-d0e9e437,default,1431123506,1.6386
2015-05-09 10:49:32,aws,i-eac1cd0d,default,1431173608,1.4166
2015-05-09 20:47:56,aws,i-bb6c635c,default,1431209681,1.1835
2015-05-11 02:47:51,aws,i-1ba3adfc,default,1431317467,1.1823
2015-05-11 10:48:07,aws,i-33d8d1d4,default,1431346419,1.2499
2015-05-11 12:48:07,aws,i-75f4fd92,default,1431353750,1.2109
2015-05-11 16:50:38,aws,i-78535b9f,default,1431368258,0.95276
2015-05-08 14:53:07,aws,i-d1626f36,default,1431101863,1.681
2015-05-08 16:48:01,aws,i-b51a1752,default,1431108754,14.127
2015-05-08 18:53:41,aws,i-7d333e9a,default,1431116300,1.3389
2015-05-09 22:53:29,aws,i-330e01d4,default,1431217131,5.2421
2015-05-10 12:50:09,aws,i-52515fb5,default,1431267336,18.587
2015-05-10 20:48:01,aws,i-a9dbd54e,default,1431296047,1.5669
2015-05-11 00:48:02,aws,i-fe828c19,default,1431310345,1.1394
2015-05-08 12:47:57,aws,i-8c4f426b,default,1431094377,2.8125
2015-05-08 22:48:09,aws,i-df8a8738,default,1431130272,1.3358
2015-05-09 02:53:37,aws,i-b2454955,default,1431145220,3.4426
2015-05-10 18:48:20,aws,i-d2353b35,default,1431288973,1.2734
2015-05-11 14:48:02,aws,i-b9a4ad5e,default,1431360915,1.7128
2015-05-12 04:48:00,aws,i-3aa1a9dd,default,1431411314,1.263
2015-05-08 10:53:31,aws,i-479597a0,default,1431087497,1.4343
2015-05-09 04:47:53,aws,i-586a66bf,default,1431152099,1.5728
2015-05-10 10:55:43,aws,i-9c4c427b,default,1431260420,3.901
2015-05-09 18:48:02,aws,i-3f4649d8,default,1431202236,1.401
2015-05-10 00:55:29,aws,i-832b2464,default,1431224527,1.414
2015-05-12 02:50:46,aws,i-388189df,default,1431404084,1.1692
2015-05-10 22:48:11,aws,i-61fef086,default,1431303324,1.276
2015-05-11 22:50:34,aws,i-1ccac2fb,default,1431389749,1.4582
2015-05-12 00:50:04,aws,i-29eee6ce,default,1431396841,3.1901
2015-05-11 20:50:45,aws,i-512820b6,default,1431382706,1.1875
2015-05-11 18:48:45,aws,i-ba747c5d,default,1431375240,1.0989
