Benchmark Start Time,Provider Name,Provider VM Id,VM Role,Time,Value
2015-05-05 16:49:16,aws,i-b40b0c53,default,1430849013,146.7452
2015-05-05 22:48:55,aws,i-18fdfaff,default,1430870434,150.7373
2015-05-06 02:52:34,aws,i-e64c4a01,default,1430885194,150.4142
2015-05-05 18:49:29,aws,i-043631e3,default,1430856158,133.645
2015-05-05 20:48:33,aws,i-f2ded915,default,1430863276,135.9946
2015-05-06 05:02:52,aws,i-c8696f2f,default,1430893013,152.0444
2015-05-06 00:52:01,aws,i-75a2a592,default,1430877861,139.2483
2015-05-06 12:49:39,aws,i-7fbcba98,default,1430920966,142.1351
2015-05-06 14:49:13,aws,i-7e6f6e99,default,1430928175,125.6894
2015-05-06 16:49:16,aws,i-fd21201a,default,1430935386,149.8762
2015-05-06 20:48:01,aws,i-bff0f158,default,1430949712,135.4786
2015-05-06 22:48:40,aws,i-6f999888,default,1430956831,151.2137
2015-05-07 00:49:12,aws,i-cdbabb2a,default,1430964189,149.3417
2015-05-07 04:50:10,aws,i-cc02022b,default,1430978640,136.033
2015-05-07 08:48:07,aws,i-1be3e3fc,default,1430992832,133.4463
2015-05-07 12:48:03,aws,i-214340c6,default,1431007342,132.9735
2015-05-07 02:47:59,aws,i-345c5cd3,default,1430971165,132.2845
2015-05-07 10:48:24,aws,i-e5949402,default,1431000047,132.9749
2015-05-07 14:49:27,aws,i-b6787b51,default,1431014639,151.6656
2015-05-08 12:51:26,aws,i-424c41a5,default,1431093948,151.8156
2015-05-08 18:48:57,aws,i-8c333e6b,default,1431115330,149.3327
2015-05-10 00:54:43,aws,i-662c2381,default,1431223693,151.2355
2015-05-10 12:51:38,aws,i-d0515f37,default,1431266756,150.9729
2015-05-11 00:51:42,aws,i-ab828c4c,default,1431309830,151.9489
2015-05-08 14:48:11,aws,i-21636ec6,default,1431100953,144.3694
2015-05-08 16:51:49,aws,i-8c1a176b,default,1431108337,150.2189
2015-05-09 10:51:43,aws,i-29c0ccce,default,1431173037,151.9325
2015-05-08 20:48:24,aws,i-65e9e482,default,1431122559,147.1242
2015-05-09 02:51:33,aws,i-bd45495a,default,1431144361,151.1474
2015-05-09 06:57:19,aws,i-8905096e,default,1431158996,133.0575
2015-05-09 08:48:10,aws,i-99262a7e,default,1431165674,136.1903
2015-05-09 12:47:53,aws,i-b7e6ea50,default,1431180053,133.7272
2015-05-09 20:51:47,aws,i-136b64f4,default,1431209065,132.7919
2015-05-09 04:51:31,aws,i-446468a3,default,1431151545,151.139
2015-05-09 14:48:13,aws,i-ec85890b,default,1431187255,133.7658
2015-05-09 18:56:36,aws,i-5a4649bd,default,1431202210,149.8339
2015-05-08 10:49:21,aws,i-4f9795a8,default,1431086501,151.5295
2015-05-08 22:49:03,aws,i-9f8b8678,default,1431129805,152.0607
2015-05-09 00:48:15,aws,i-30aba6d7,default,1431136858,133.6089
2015-05-10 04:47:54,aws,i-c8ece32f,default,1431237568,133.9401
2015-05-10 10:55:32,aws,i-3a4f41dd,default,1431259680,150.9067
2015-05-10 16:51:29,aws,i-95101e72,default,1431281152,150.9505
2015-05-10 20:47:58,aws,i-54d8d6b3,default,1431295241,133.064
2015-05-10 02:51:31,aws,i-dacac53d,default,1431230708,149.9083
2015-05-10 14:48:02,aws,i-2c737dcb,default,1431273676,133.4116
2015-05-10 18:52:02,aws,i-47353ba0,default,1431288278,138.5418
2015-05-10 22:51:57,aws,i-77fff190,default,1431302717,133.8986
2015-05-09 16:48:01,aws,i-e5a6aa02,default,1431194525,136.8541
2015-05-09 22:53:02,aws,i-170e01f0,default,1431216337,134.7523
2015-05-10 08:51:50,aws,i-aeaaa549,default,1431252262,152.6255
