Benchmark Start Time,Provider Name,Provider VM Id,VM Role,Time,Value
2015-05-03 17:38:51,aws,i-80d4ef67,default,1430674746,14.6564
2015-05-04 04:04:13,aws,i-462319a1,default,1430712268,14.6084
2015-05-03 22:03:29,aws,i-798fb49e,default,1430690624,14.7392
2015-05-05 20:03:31,aws,i-3ecfc8d9,default,1430856226,14.7214
2015-05-04 02:03:00,aws,i-1d4d77fa,default,1430704995,14.6605
2015-05-05 02:03:06,aws,i-1c4743fb,default,1430791402,14.6669
2015-05-05 06:03:21,aws,i-e1161206,default,1430805816,14.6281
2015-05-05 12:04:56,aws,i-ad999d4a,default,1430827511,14.6846
2015-05-05 18:02:59,aws,i-92242375,default,1430848994,14.6807
2015-05-03 18:03:22,aws,i-eaccf70d,default,1430676217,14.6076
2015-05-04 00:03:18,aws,i-93695374,default,1430697813,14.7399
2015-05-05 16:03:00,aws,i-1f7a7df8,default,1430841795,14.6255
2015-05-05 22:03:02,aws,i-76eaed91,default,1430863397,14.6631
2015-05-04 10:04:01,aws,i-bca09a5b,default,1430733856,14.6473
2015-05-05 04:03:39,aws,i-9d62667a,default,1430798634,14.6928
2015-05-04 08:03:26,aws,i-6ecaf089,default,1430726621,14.6877
2015-05-04 12:03:07,aws,i-2c85bfcb,default,1430741002,14.6344
2015-05-04 14:03:20,aws,i-78696c9f,default,1430748215,14.704
2015-05-03 20:02:57,aws,i-efad9608,default,1430683393,14.602
2015-05-04 20:02:58,aws,i-9ddedb7a,default,1430769793,14.5783
2015-05-04 06:03:07,aws,i-28fec4cf,default,1430719402,14.6266
2015-05-04 16:03:22,aws,i-ec16130b,default,1430755417,14.7261
2015-05-04 18:03:01,aws,i-573d38b0,default,1430762596,14.6469
2015-05-04 22:03:05,aws,i-6af9fc8d,default,1430777000,14.5497
2015-05-06 00:03:24,aws,i-90888f77,default,1430870619,14.6988
2015-05-06 06:20:58,aws,i-78090f9f,default,1430893273,14.6972
2015-05-05 00:03:21,aws,i-5ea5a0b9,default,1430784216,14.6201
2015-05-05 08:03:37,aws,i-023b3fe5,default,1430813032,14.6067
2015-05-06 02:03:01,aws,i-95bcbb72,default,1430877796,14.6856
2015-05-06 10:57:05,aws,i-c1818726,default,1430909844,19.0448
2015-05-06 12:03:14,aws,i-b1a1a756,default,1430913809,14.6213
2015-05-06 14:03:17,aws,i-e55d5c02,default,1430921013,14.6656
2015-05-06 16:03:00,aws,i-440f0ea3,default,1430928195,14.6361
2015-05-06 18:03:17,aws,i-d83b3a3f,default,1430935412,14.6864
2015-05-06 22:02:57,aws,i-378d8cd0,default,1430949792,14.6953
2015-05-07 16:02:51,aws,i-a2181b45,default,1431014586,14.6578
2015-05-08 00:02:50,aws,i-a0b1b247,default,1431043384,14.6792
2015-05-08 04:02:45,aws,i-b47b7953,default,1431057780,14.7599
2015-05-08 08:02:56,aws,i-acd1d34b,default,1431072191,14.743
2015-05-07 04:03:09,aws,i-d2717135,default,1430971404,14.6727
2015-05-07 06:03:04,aws,i-181e1eff,default,1430978600,14.5938
2015-05-07 10:03:08,aws,i-6b82828c,default,1430993004,14.7141
2015-05-07 22:03:15,aws,i-888d8e6f,default,1431036209,14.5998
2015-05-08 06:02:56,aws,i-9820227f,default,1431064992,14.6393
2015-05-07 20:02:59,aws,i-40e8eba7,default,1431028994,14.6136
2015-05-08 02:03:01,aws,i-165755f1,default,1431050595,14.6498
2015-05-11 07:59:38,aws,i-3c1910db,default,1431331193,14.6316
2015-05-10 10:28:38,aws,i-6fb3bc88,default,1431253734,14.6241
2015-05-10 19:07:19,aws,i-51333db6,default,1431284855,14.6452
2015-05-10 19:21:47,aws,i-c3333d24,default,1431285730,19.985
